tweets
"I don’t know why @JoeBiden thinks he can continue to lie about this. 

He wants to ban fracking and end all fossil fuels like coal too. 

Kentucky is watching, and so are many other states. #Debate2020 https://t.co/qdshgBd3jf"
Who won #Debate2020 tonight? @RealDonaldTrump=THUGLIFE! https://t.co/gu32qu4Nxa
Donald Trump falsely accused 5 Black and brown teens — known as the “Central Park 5” — of rape. He even paid for this full-page ad to publicly call for their executions! ALL of them were exonerated 20 years ago and Trump has NEVER admitted this racist failure! #Debate2020 https://t.co/oMj9wXFczr
Top stories of the week: #EnvironmentalHealth at #Debate2020; pollution's multi-generational impacts; time to replace your couch – all from #journalists at EHN: https://t.co/zaajYSxwQR
"Trump said, “All talk and no action, these politicians.” Incredible, isn’t it? Such a clear admission of his own practice. Pure psychological projection. This is one for the history (humor) books.
#Debate2020"
He lied so much last night I swear I saw his nose grow. #Debate2020 https://t.co/2DU1qZs9MA
Trump is awful enough that people who have never voted before are voting. @realDonaldTrump #HunterBidenEmails #Debate2020 #Florida #Pennsylvania #SuburbanWomenAgainstTrump #suburban2021 #barackobama https://t.co/L2mZm0S1Oq
"Suppose the Dem candidate at the debate last night lied with complete impunity like Don did.

The always-grovel-to-Donald Repubs would be screaming their hypocritical heads off.

Once groveling scum, always groveling scum--no fair play for Repubs.

#LiarInChief #Biden #Debate2020"
The sad part is when you can’t tell if it’s real life or if it’s an SNL skit #debate2020 @nbcsnl
Facts #Debates2020 #Debate2020 https://t.co/jnSamI3yaL
Hardest #debate2020 meme  https://t.co/Mp8KoDIqMx
"""We're rounding the corner."" @realDonaldTrump  #Debate2020 https://t.co/TA3UFv1lRn"
"At last night's #debate2020, Donald Trump said the country was ""turning the corner"" on the coronavirus. 

He was lying. It's now the worst it's been. 

This is the cost of his science denial. https://t.co/GtUAP3Yquz"
Ice Cream Brand Launches “Emotional Support” Package for Election Week https://t.co/U7ulWn0iqv via @VegNews #expowest #cpg #marketing #advertising #debate2020 #Vote2020
"I better Get My Way or Else..!@&amp;
 #debate #Debate2020 #debates #LockHimUp #TrumpVirus
#TrumpIsPathetic #TrumpMeltdown #TrumpForPrison2020 #TrumpforPrison https://t.co/C88r7nVcAe"
"One of the best tweets on the #Debate2020 
.@Twitter https://t.co/lx4ycS0fCd"
#COVID__19 #Covid_19 #COVIDIOTS #COVID19 #covita #coronavirus #Corona #virus #VirusCorona #trump #TrumpIsPathetic #TrumpMeltdown #GOP #Trending  #GOPHypocrisy  #VoteForDemocracy #Debate2020 #TrumpLies #PresidentialDebate #Government #VoteLikeYourLifeDependsOnIt @GOP https://t.co/BskB3Wmya3
#BTSxBBMAs  #EPK_songoftheyear_BTS #debates  #debate2020 https://t.co/GffcnAgmzF
"#BTSxBBMAs  #EPK_songoftheyear_BTS #debates  #debate2020
 https://t.co/WHIFJKLmhJ"
"#BTSxBBMAs #EPK_songoftheyear_BTS #debates #debate2020 

https://t.co/z7N67ORq9B"
"#BTSxBBMAs #EPK_songoftheyear_BTS #debates #debate2020 

https://t.co/GfRWChf8Xo"
"#BTSxBBMAs #EPK_songoftheyear_BTS #debates #debate2020 

https://t.co/n2lfb0EIdt"
"#BTSxBBMAs #EPK_songoftheyear_BTS #debates #debate2020 

https://t.co/RN8NVT7PkO"
"#BTSxBBMAs #EPK_songoftheyear_BTS #debates #debate2020 

https://t.co/jmgcyo26oX"
